지점,년도,날짜,계절관측,계절현상
인천,2012,2012-05-09,제비,초견
인천,2012,13일,제비,초견(평비)
인천,2012,2012-06-26,잠자리,초견
인천,2012,-10일,잠자리,초견(평비)
인천,2012,2012-07-22,매미,초성
인천,2012,3일,매미,초성(평비)
인천,2012,2012-09-26,매미,종성
인천,2012,5일,매미,종성(평비)
인천,2012,2012-10-04,기러기,초견
인천,2012,2012-08-06,코스모스,개화
인천,2012,-27일,코스모스,개화(평비)
인천,2012,2012-03-20,매화,발아
인천,2012,-3일,매화,발아(평비)
인천,2012,2012-04-12,매화,개화
인천,2012,1일,매화,개화(평비)
인천,2012,2012-03-16,개나리,발아
인천,2012,-4일,개나리,발아(평비)
인천,2012,2012-04-05,개나리,개화
인천,2012,3일,개나리,개화(평비)
인천,2012,2012-04-05,진달래,발아
인천,2012,13일,진달래,발아(평비)
인천,2012,2012-04-12,진달래,개화
인천,2012,8일,진달래,개화(평비)
인천,2012,2012-04-09,벚나무,발아
인천,2012,11일,벚나무,발아(평비)
인천,2012,2012-04-19,벚나무,개화
인천,2012,6일,벚나무,개화(평비)
인천,2012,2012-05-09,아까시나무,발아
인천,2012,17일,아까시나무,발아(평비)
인천,2012,2012-05-19,아까시나무,개화
인천,2012,3일,아까시나무,개화(평비)
인천,2012,2012-04-17,복숭아,발아
인천,2012,14일,복숭아,발아(평비)
인천,2012,2012-04-27,복숭아,개화
인천,2012,8일,복숭아,개화(평비)
인천,2012,2012-04-17,배나무,발아
인천,2012,18일,배나무,발아(평비)
인천,2012,2012-11-02,단풍나무,단풍시작
인천,2012,3일,단풍나무,단풍시작(평비)
인천,2012,2012-11-12,단풍나무,단풍절정
인천,2012,4일,단풍나무,단풍절정(평비)
인천,2012,2012-11-15,서리,시작
인천,2012,8일,서리,시작(평비)
인천,2012,2013-04-03,서리,끝
인천,2012,9일,서리,끝(평비)
인천,2012,2012-11-18,얼음,시작
인천,2012,11일,얼음,시작(평비)
인천,2012,2013-03-31,얼음,끝
인천,2012,1일,얼음,끝(평비)
인천,2012,2012-11-13,눈,시작
인천,2012,-11일,눈,시작(평비)
인천,2012,2013-03-22,눈,끝
인천,2012,4일,눈,끝(평비)
인천,2013,2013-05-08,나비,초견
인천,2013,24일,나비,초견(평비)
인천,2013,2013-06-19,잠자리,초견
인천,2013,-17일,잠자리,초견(평비)
인천,2013,2013-07-19,매미,초성
인천,2013,0일,매미,초성(평비)
인천,2013,2013-09-23,매미,종성
인천,2013,2일,매미,종성(평비)
인천,2013,2013-08-15,코스모스,개화
인천,2013,-18일,코스모스,개화(평비)
인천,2013,2013-03-26,매화,발아
인천,2013,3일,매화,발아(평비)
인천,2013,2013-04-12,매화,개화
인천,2013,1일,매화,개화(평비)
인천,2013,2013-03-26,개나리,발아
인천,2013,6일,개나리,발아(평비)
인천,2013,2013-04-08,개나리,개화
인천,2013,6일,개나리,개화(평비)
인천,2013,2013-04-01,진달래,발아
인천,2013,9일,진달래,발아(평비)
인천,2013,2013-04-17,진달래,개화
인천,2013,13일,진달래,개화(평비)
인천,2013,2013-04-03,벚나무,발아
인천,2013,5일,벚나무,발아(평비)
인천,2013,2013-04-17,벚나무,개화
인천,2013,4일,벚나무,개화(평비)
인천,2013,2013-05-02,아까시나무,발아
인천,2013,10일,아까시나무,발아(평비)
인천,2013,2013-05-22,아까시나무,개화
인천,2013,6일,아까시나무,개화(평비)
인천,2013,2013-04-08,복숭아,발아
인천,2013,5일,복숭아,발아(평비)
인천,2013,2013-04-19,복숭아,개화
인천,2013,0일,복숭아,개화(평비)
인천,2013,2013-04-08,배나무,발아
인천,2013,9일,배나무,발아(평비)
인천,2013,2013-04-28,배나무,개화
인천,2013,9일,배나무,개화(평비)
인천,2013,2013-11-07,은행나무,단풍시작
인천,2013,12일,은행나무,단풍시작(평비)
인천,2013,2013-11-15,은행나무,단풍절정
인천,2013,10일,은행나무,단풍절정(평비)
인천,2013,2013-11-05,단풍나무,단풍시작
인천,2013,6일,단풍나무,단풍시작(평비)
인천,2013,2013-11-18,단풍나무,단풍절정
인천,2013,10일,단풍나무,단풍절정(평비)
인천,2013,2013-11-08,서리,시작
인천,2013,1일,서리,시작(평비)
인천,2013,2014-03-22,서리,끝
인천,2013,-3일,서리,끝(평비)
인천,2013,2013-11-11,얼음,시작
인천,2013,4일,얼음,시작(평비)
인천,2013,2014-03-14,얼음,끝
인천,2013,-16일,얼음,끝(평비)
인천,2013,2013-11-19,눈,시작
인천,2013,-5일,눈,시작(평비)
인천,2013,2014-03-09,눈,끝
인천,2013,-9일,눈,끝(평비)
인천,2013,2013-04-17,군락단지,절정
인천,2014,2014-04-07,나비,초견
인천,2014,-7일,나비,초견(평비)
인천,2014,2014-07-11,잠자리,초견
인천,2014,5일,잠자리,초견(평비)
인천,2014,2014-07-11,매미,초성
인천,2014,-8일,매미,초성(평비)
인천,2014,2014-09-17,매미,종성
인천,2014,-4일,매미,종성(평비)
인천,2014,2014-10-03,기러기,초견
인천,2014,2014-08-15,코스모스,개화
인천,2014,-18일,코스모스,개화(평비)
인천,2014,2014-03-17,매화,발아
인천,2014,-6일,매화,발아(평비)
인천,2014,2014-03-30,매화,개화
인천,2014,-12일,매화,개화(평비)
인천,2014,2014-03-18,개나리,발아
인천,2014,-2일,개나리,발아(평비)
인천,2014,2014-03-27,개나리,개화
인천,2014,-6일,개나리,개화(평비)
인천,2014,2014-03-18,진달래,발아
인천,2014,-5일,진달래,발아(평비)
인천,2014,2014-03-28,진달래,개화
인천,2014,-7일,진달래,개화(평비)
인천,2014,2014-03-19,벚나무,발아
인천,2014,-10일,벚나무,발아(평비)
인천,2014,2014-03-30,벚나무,개화
인천,2014,-14일,벚나무,개화(평비)
인천,2014,2014-05-09,아까시나무,발아
인천,2014,17일,아까시나무,발아(평비)
인천,2014,2014-05-20,아까시나무,개화
인천,2014,4일,아까시나무,개화(평비)
인천,2014,2014-03-31,복숭아,발아
인천,2014,-3일,복숭아,발아(평비)
인천,2014,2014-04-10,복숭아,개화
인천,2014,-9일,복숭아,개화(평비)
인천,2014,2014-10-23,은행나무,단풍시작
인천,2014,-3일,은행나무,단풍시작(평비)
인천,2014,2014-11-05,은행나무,단풍절정
인천,2014,0일,은행나무,단풍절정(평비)
인천,2014,2014-10-28,단풍나무,단풍시작
인천,2014,-2일,단풍나무,단풍시작(평비)
인천,2014,2014-11-07,단풍나무,단풍절정
인천,2014,-1일,단풍나무,단풍절정(평비)
인천,2014,2014-11-14,서리,시작
인천,2014,7일,서리,시작(평비)
인천,2014,2015-03-15,서리,끝
인천,2014,-10일,서리,끝(평비)
인천,2014,2014-11-12,얼음,시작
인천,2014,5일,얼음,시작(평비)
인천,2014,2015-03-15,얼음,끝
인천,2014,-15일,얼음,끝(평비)
인천,2014,2014-11-14,눈,시작
인천,2014,-10일,눈,시작(평비)
인천,2014,2015-03-03,눈,끝
인천,2014,-15일,눈,끝(평비)
인천,2014,2014-04-01,군락단지,절정
인천,2015,2015-05-01,나비,초견
인천,2015,17일,나비,초견(평비)
인천,2015,2015-07-07,잠자리,초견
인천,2015,1일,잠자리,초견(평비)
인천,2015,2015-05-13,뻐꾸기,초성
인천,2015,-3일,뻐꾸기,초성(평비)
인천,2015,2015-07-29,매미,초견
인천,2015,2015-07-17,매미,초성
인천,2015,-2일,매미,초성(평비)
인천,2015,2015-07-14,코스모스,개화
인천,2015,-50일,코스모스,개화(평비)
인천,2015,2015-09-11,코스모스,만발
인천,2015,2015-03-25,개나리,발아
인천,2015,5일,개나리,발아(평비)
인천,2015,2015-04-05,개나리,개화
인천,2015,3일,개나리,개화(평비)
인천,2015,2015-04-10,개나리,만발
인천,2015,2015-03-18,진달래,발아
인천,2015,-5일,진달래,발아(평비)
인천,2015,2015-03-27,진달래,개화
인천,2015,-8일,진달래,개화(평비)
인천,2015,2015-04-03,진달래,만발
인천,2015,2015-03-20,벚나무,발아
인천,2015,-9일,벚나무,발아(평비)
인천,2015,2015-04-08,벚나무,개화
인천,2015,-5일,벚나무,개화(평비)
인천,2015,2015-04-11,벚나무,만발
인천,2015,2015-05-07,아까시나무,발아
인천,2015,15일,아까시나무,발아(평비)
인천,2015,2015-05-12,아까시나무,개화
인천,2015,-4일,아까시나무,개화(평비)
인천,2015,2015-05-17,아까시나무,만발
인천,2015,2015-04-01,복숭아,발아
인천,2015,-2일,복숭아,발아(평비)
인천,2015,2015-04-12,복숭아,개화
인천,2015,-7일,복숭아,개화(평비)
인천,2015,2015-04-18,복숭아,만발
인천,2015,2015-04-03,배나무,발아
인천,2015,4일,배나무,발아(평비)
인천,2015,2015-04-14,배나무,개화
인천,2015,-5일,배나무,개화(평비)
인천,2015,2015-04-20,배나무,만발
인천,2015,2015-10-19,은행나무,단풍시작
인천,2015,-7일,은행나무,단풍시작(평비)
인천,2015,2015-11-05,은행나무,단풍절정
인천,2015,0일,은행나무,단풍절정(평비)
인천,2015,2015-10-16,단풍나무,단풍시작
인천,2015,-14일,단풍나무,단풍시작(평비)
인천,2015,2015-11-04,단풍나무,단풍절정
인천,2015,-4일,단풍나무,단풍절정(평비)
인천,2015,2015-12-01,서리,시작
인천,2015,24일,서리,시작(평비)
인천,2015,2016-03-26,서리,끝
인천,2015,1일,서리,끝(평비)
인천,2015,2015-11-26,얼음,시작
인천,2015,19일,얼음,시작(평비)
인천,2015,2016-03-15,얼음,끝
인천,2015,-15일,얼음,끝(평비)
인천,2015,2015-11-25,눈,시작
인천,2015,1일,눈,시작(평비)
인천,2015,2016-02-29,눈,끝
인천,2015,-18일,눈,끝(평비)
인천,2015,2015-04-08,군락단지,절정
인천,2016,2016-05-10,나비,초견
인천,2016,26일,나비,초견(평비)
인천,2016,2016-06-28,잠자리,초견
인천,2016,-8일,잠자리,초견(평비)
인천,2016,2016-05-17,뻐꾸기,초성
인천,2016,1일,뻐꾸기,초성(평비)
인천,2016,2016-07-11,매미,초성
인천,2016,-8일,매미,초성(평비)
인천,2016,2016-09-13,매미,종성
인천,2016,-8일,매미,종성(평비)
인천,2016,2016-09-24,기러기,초견
인천,2016,2016-06-24,코스모스,발아
인천,2016,2016-06-28,코스모스,개화
인천,2016,-66일,코스모스,개화(평비)
인천,2016,2016-08-13,코스모스,만발
인천,2016,2016-03-12,매화,발아
인천,2016,-11일,매화,발아(평비)
인천,2016,2016-03-22,매화,개화
인천,2016,-20일,매화,개화(평비)
인천,2016,2016-03-31,매화,만발
인천,2016,2016-03-23,개나리,발아
인천,2016,3일,개나리,발아(평비)
인천,2016,2016-03-27,개나리,개화
인천,2016,-6일,개나리,개화(평비)
인천,2016,2016-04-01,개나리,만발
인천,2016,2016-03-21,진달래,발아
인천,2016,-2일,진달래,발아(평비)
인천,2016,2016-03-27,진달래,개화
인천,2016,-8일,진달래,개화(평비)
인천,2016,2016-03-31,진달래,만발
인천,2016,2016-03-23,벚나무,발아
인천,2016,-6일,벚나무,발아(평비)
인천,2016,2016-04-06,벚나무,개화
인천,2016,-7일,벚나무,개화(평비)
인천,2016,2016-04-11,벚나무,만발
인천,2016,2016-05-06,아까시나무,발아
인천,2016,14일,아까시나무,발아(평비)
인천,2016,2016-05-10,아까시나무,개화
인천,2016,-6일,아까시나무,개화(평비)
인천,2016,2016-05-13,아까시나무,만발
인천,2016,2016-04-02,복숭아,발아
인천,2016,-1일,복숭아,발아(평비)
인천,2016,2016-04-08,복숭아,개화
인천,2016,-11일,복숭아,개화(평비)
인천,2016,2016-04-15,복숭아,만발
인천,2016,2016-04-04,배나무,발아
인천,2016,5일,배나무,발아(평비)
인천,2016,2016-04-10,배나무,개화
인천,2016,-9일,배나무,개화(평비)
인천,2016,2016-04-16,배나무,만발
인천,2016,2016-10-26,은행나무,단풍시작
인천,2016,0일,은행나무,단풍시작(평비)
인천,2016,2016-11-04,은행나무,단풍절정
인천,2016,-1일,은행나무,단풍절정(평비)
인천,2016,2016-10-15,단풍나무,단풍시작
인천,2016,-15일,단풍나무,단풍시작(평비)
인천,2016,2016-11-07,단풍나무,단풍절정
인천,2016,-1일,단풍나무,단풍절정(평비)
인천,2016,2016-11-02,서리,시작
인천,2016,-5일,서리,시작(평비)
인천,2016,2017-03-19,서리,끝
인천,2016,-6일,서리,끝(평비)
인천,2016,2016-11-01,얼음,시작
인천,2016,-6일,얼음,시작(평비)
인천,2016,2017-03-10,얼음,끝
인천,2016,-20일,얼음,끝(평비)
인천,2016,2016-11-26,눈,시작
인천,2016,2일,눈,시작(평비)
인천,2016,2017-02-22,눈,끝
인천,2016,-24일,눈,끝(평비)
인천,2016,2016-04-06,군락단지,절정
인천,2017,2017-06-08,제비,초견
인천,2017,43일,제비,초견(평비)
인천,2017,2017-04-10,나비,초견
인천,2017,-4일,나비,초견(평비)
인천,2017,2017-06-17,잠자리,초견
인천,2017,-19일,잠자리,초견(평비)
인천,2017,2017-05-23,뻐꾸기,초성
인천,2017,7일,뻐꾸기,초성(평비)
인천,2017,2017-07-13,매미,초성
인천,2017,-6일,매미,초성(평비)
인천,2017,2017-09-12,코스모스,개화
인천,2017,10일,코스모스,개화(평비)
인천,2017,2017-09-22,코스모스,만발
인천,2017,2017-03-21,매화,발아
인천,2017,-2일,매화,발아(평비)
인천,2017,2017-03-24,매화,개화
인천,2017,-18일,매화,개화(평비)
인천,2017,2017-04-02,매화,만발
인천,2017,2017-03-24,개나리,발아
인천,2017,4일,개나리,발아(평비)
인천,2017,2017-03-31,개나리,개화
인천,2017,-2일,개나리,개화(평비)
인천,2017,2017-04-05,개나리,만발
인천,2017,2017-03-22,진달래,발아
인천,2017,-1일,진달래,발아(평비)
인천,2017,2017-03-26,진달래,개화
인천,2017,-9일,진달래,개화(평비)
인천,2017,2017-04-03,진달래,만발
인천,2017,2017-03-30,벚나무,발아
인천,2017,1일,벚나무,발아(평비)
인천,2017,2017-04-10,벚나무,개화
인천,2017,-3일,벚나무,개화(평비)
인천,2017,2017-04-14,벚나무,만발
인천,2017,2017-05-07,아까시나무,발아
인천,2017,15일,아까시나무,발아(평비)
인천,2017,2017-05-12,아까시나무,개화
인천,2017,-4일,아까시나무,개화(평비)
인천,2017,2017-05-17,아까시나무,만발
인천,2017,2017-04-06,복숭아,발아
인천,2017,3일,복숭아,발아(평비)
인천,2017,2017-04-10,복숭아,개화
인천,2017,-9일,복숭아,개화(평비)
인천,2017,2017-04-15,복숭아,만발
인천,2017,2017-04-08,배나무,발아
인천,2017,9일,배나무,발아(평비)
인천,2017,2017-04-12,배나무,개화
인천,2017,-7일,배나무,개화(평비)
인천,2017,2017-04-16,배나무,만발
인천,2017,2017-10-25,은행나무,단풍시작
인천,2017,-1일,은행나무,단풍시작(평비)
인천,2017,2017-11-03,은행나무,단풍절정
인천,2017,-2일,은행나무,단풍절정(평비)
인천,2017,2017-10-19,단풍나무,단풍시작
인천,2017,-11일,단풍나무,단풍시작(평비)
인천,2017,2017-11-06,단풍나무,단풍절정
인천,2017,-2일,단풍나무,단풍절정(평비)
인천,2017,2017-11-12,서리,시작
인천,2017,5일,서리,시작(평비)
인천,2017,2018-03-10,서리,끝
인천,2017,-15일,서리,끝(평비)
인천,2017,2017-11-12,얼음,시작
인천,2017,5일,얼음,시작(평비)
인천,2017,2018-03-22,얼음,끝
인천,2017,-8일,얼음,끝(평비)
인천,2017,2017-11-20,눈,시작
인천,2017,-4일,눈,시작(평비)
인천,2017,2018-03-21,눈,끝
인천,2017,3일,눈,끝(평비)
인천,2017,2017-04-10,군락단지,절정
인천,2018,2018-04-09,제비,초견
인천,2018,-17일,제비,초견(평비)
인천,2018,2018-04-20,나비,초견
인천,2018,6일,나비,초견(평비)
인천,2018,2018-07-02,잠자리,초견
인천,2018,-4일,잠자리,초견(평비)
인천,2018,2018-07-10,매미,초성
인천,2018,-9일,매미,초성(평비)
인천,2018,2018-09-14,코스모스,개화
인천,2018,12일,코스모스,개화(평비)
인천,2018,2018-09-24,코스모스,만발
인천,2018,2018-03-29,매화,발아
인천,2018,6일,매화,발아(평비)
인천,2018,2018-04-04,매화,개화
인천,2018,-7일,매화,개화(평비)
인천,2018,2018-04-13,매화,만발
인천,2018,2018-03-21,개나리,발아
인천,2018,1일,개나리,발아(평비)
인천,2018,2018-03-30,개나리,개화
인천,2018,-3일,개나리,개화(평비)
인천,2018,2018-04-02,개나리,만발
인천,2018,2018-03-21,진달래,발아
인천,2018,-2일,진달래,발아(평비)
인천,2018,2018-03-26,진달래,개화
인천,2018,-9일,진달래,개화(평비)
인천,2018,2018-04-01,진달래,만발
인천,2018,2018-04-02,벚나무,발아
인천,2018,4일,벚나무,발아(평비)
인천,2018,2018-04-06,벚나무,개화
인천,2018,-7일,벚나무,개화(평비)
인천,2018,2018-04-12,벚나무,만발
인천,2018,2018-04-17,아까시나무,발아
인천,2018,-5일,아까시나무,발아(평비)
인천,2018,2018-05-11,아까시나무,개화
인천,2018,-5일,아까시나무,개화(평비)
인천,2018,2018-05-18,아까시나무,만발
인천,2018,2018-04-06,복숭아,발아
인천,2018,3일,복숭아,발아(평비)
인천,2018,2018-04-14,복숭아,개화
인천,2018,-5일,복숭아,개화(평비)
인천,2018,2018-04-19,복숭아,만발
인천,2018,2018-04-07,배나무,발아
인천,2018,8일,배나무,발아(평비)
인천,2018,2018-04-14,배나무,개화
인천,2018,-5일,배나무,개화(평비)
인천,2018,2018-04-18,배나무,만발
인천,2018,2018-10-26,은행나무,단풍시작
인천,2018,0일,은행나무,단풍시작(평비)
인천,2018,2018-11-07,은행나무,단풍절정
인천,2018,2일,은행나무,단풍절정(평비)
인천,2018,2018-10-20,단풍나무,단풍시작
인천,2018,-10일,단풍나무,단풍시작(평비)
인천,2018,2018-11-05,단풍나무,단풍절정
인천,2018,-3일,단풍나무,단풍절정(평비)
인천,2018,2018-11-20,서리,시작
인천,2018,13일,서리,시작(평비)
인천,2018,2019-03-24,서리,끝
인천,2018,-1일,서리,끝(평비)
인천,2018,2018-11-20,얼음,시작
인천,2018,13일,얼음,시작(평비)
인천,2018,2019-03-24,얼음,끝
인천,2018,-6일,얼음,끝(평비)
인천,2018,2018-11-24,눈,시작
인천,2018,0일,눈,시작(평비)
인천,2018,2019-03-23,눈,끝
인천,2018,5일,눈,끝(평비)
인천,2018,2018-04-06,군락단지,절정
인천,2019,2019-04-28,제비,초견
인천,2019,2일,제비,초견(평비)
인천,2019,2019-05-07,나비,초견
인천,2019,23일,나비,초견(평비)
인천,2019,2019-07-04,잠자리,초견
인천,2019,-2일,잠자리,초견(평비)
인천,2019,2019-07-22,매미,초성
인천,2019,3일,매미,초성(평비)
인천,2019,2019-09-16,코스모스,개화
인천,2019,14일,코스모스,개화(평비)
인천,2019,2019-09-25,코스모스,만발
인천,2019,2019-03-13,매화,발아
인천,2019,-10일,매화,발아(평비)
인천,2019,2019-03-19,매화,개화
인천,2019,-23일,매화,개화(평비)
인천,2019,2019-03-28,매화,만발
인천,2019,2019-03-14,개나리,발아
인천,2019,-6일,개나리,발아(평비)
인천,2019,2019-03-25,개나리,개화
인천,2019,-8일,개나리,개화(평비)
인천,2019,2019-04-03,개나리,만발
인천,2019,2019-03-14,진달래,발아
인천,2019,-9일,진달래,발아(평비)
인천,2019,2019-03-22,진달래,개화
인천,2019,-13일,진달래,개화(평비)
인천,2019,2019-03-30,진달래,만발
인천,2019,2019-04-03,벚나무,발아
인천,2019,5일,벚나무,발아(평비)
인천,2019,2019-04-08,벚나무,개화
인천,2019,-5일,벚나무,개화(평비)
인천,2019,2019-04-15,벚나무,만발
인천,2019,2019-04-19,아까시나무,발아
인천,2019,-3일,아까시나무,발아(평비)
인천,2019,2019-05-14,아까시나무,개화
인천,2019,-2일,아까시나무,개화(평비)
인천,2019,2019-05-21,아까시나무,만발
인천,2019,2019-04-08,복숭아,발아
인천,2019,5일,복숭아,발아(평비)
인천,2019,2019-04-12,복숭아,개화
인천,2019,-7일,복숭아,개화(평비)
인천,2019,2019-04-17,복숭아,만발
인천,2019,2019-04-12,배나무,발아
인천,2019,13일,배나무,발아(평비)
인천,2019,2019-04-16,배나무,개화
인천,2019,-3일,배나무,개화(평비)
인천,2019,2019-04-19,배나무,만발
인천,2019,2019-11-02,은행나무,단풍시작
인천,2019,7일,은행나무,단풍시작(평비)
인천,2019,2019-11-13,은행나무,단풍절정
인천,2019,8일,은행나무,단풍절정(평비)
인천,2019,2019-10-21,단풍나무,단풍시작
인천,2019,-9일,단풍나무,단풍시작(평비)
인천,2019,2019-11-08,단풍나무,단풍절정
인천,2019,0일,단풍나무,단풍절정(평비)
인천,2019,2019-11-20,서리,시작
인천,2019,13일,서리,시작(평비)
인천,2019,2020-04-06,서리,끝
인천,2019,12일,서리,끝(평비)
인천,2019,2019-11-14,얼음,시작
인천,2019,7일,얼음,시작(평비)
인천,2019,2020-03-16,얼음,끝
인천,2019,-14일,얼음,끝(평비)
인천,2019,2019-11-18,눈,시작
인천,2019,-6일,눈,시작(평비)
인천,2019,2020-03-04,눈,끝
인천,2019,-14일,눈,끝(평비)
인천,2019,2019-04-08,군락단지,절정
인천,2020,2020-04-29,제비,초견
인천,2020,3일,제비,초견(평비)
인천,2020,2020-05-07,나비,초견
인천,2020,23일,나비,초견(평비)
인천,2020,2020-07-03,잠자리,초견
인천,2020,-3일,잠자리,초견(평비)
인천,2020,2020-05-08,뻐꾸기,초성
인천,2020,-8일,뻐꾸기,초성(평비)
인천,2020,2020-07-24,매미,초성
인천,2020,5일,매미,초성(평비)
인천,2020,2020-09-15,코스모스,개화
인천,2020,13일,코스모스,개화(평비)
인천,2020,2020-09-26,코스모스,만발
인천,2020,2020-03-03,매화,발아
인천,2020,-20일,매화,발아(평비)
인천,2020,2020-03-18,매화,개화
인천,2020,-24일,매화,개화(평비)
인천,2020,2020-03-25,매화,만발
인천,2020,2020-03-10,개나리,발아
인천,2020,-10일,개나리,발아(평비)
인천,2020,2020-03-22,개나리,개화
인천,2020,-11일,개나리,개화(평비)
인천,2020,2020-03-27,개나리,만발
인천,2020,2020-03-02,진달래,발아
인천,2020,-21일,진달래,발아(평비)
인천,2020,2020-03-12,진달래,개화
인천,2020,-23일,진달래,개화(평비)
인천,2020,2020-03-23,진달래,만발
인천,2020,2020-03-26,벚나무,발아
인천,2020,-3일,벚나무,발아(평비)
인천,2020,2020-03-30,벚나무,개화
인천,2020,-14일,벚나무,개화(평비)
인천,2020,2020-04-06,벚나무,만발
인천,2020,2020-04-17,아까시나무,발아
